order_id,order_date,region,product_category,sales_rep,customer_segment,units_sold,unit_price,discount_pct,satisfaction_score,revenue
S-100000,2024-02-05, south,Office Supplies,Aisha Karimova,SMB,23.0,$238.66,10%,3.62,4940.26
S-100001,2024-11-05, south,Home Goods,Maria Gomez ,Retail,3.0,$136.70,15 %,3.78,348.58
S-100002,2024-09-18, south,Office Supplies,Maria Gomez ,retail ,52.0,$225.57,15 %,3.87,9970.19
S-100003,2024-06-24,EAST,electronics,SAM PATEL,Government,33.0,$160.35,0%,4.81,
S-100004,2024-06-22,West ,,Maria Gomez ,Government,4.0,$216.42,0%,4.19,865.68
S-100005,2024-12-09, south,Office Supplies,john lee,Government,93.0,$22.41,5%,4.81,1979.92
S-100006,2024-02-04, south,Industrial,john lee,Enterprise,,$144.12,20%,4.37,3610563.526077519
S-100007,2024-10-05,Central,Home Goods,john lee,SMB,109.0,$364.43,5%,3.93,37736.73
S-100008,2024-03-21,North,Electronics,Lena Park,SMB,58.0,$310.58,20%,3.89,14410.91
S-100009,2024-02-07,EAST,Office Supplies,Aisha Karimova,Retail,53.0,$352.12,10%,4.41,16796.12
S-100010,2024-07-29,West ,Home Goods,,Enterprise,101.0,$357.96,5%,4.55,34346.26
S-100011,2025-01-25,North,,john lee,Enterprise,10.0,$297.20,20%,4.65,2377.6
S-100012,2024-10-21,North,Office Supplies,Aisha Karimova,Retail,44.0,$201.51,10%,3.96,7979.8
S-100013,2024-10-31,North,Electronics,john lee,Government,96.0,$151.83,5%,4.2,13846.9
S-100014,2024-10-13,Central,electronics,Aisha Karimova,SMB,35.0,$337.47,0%,4.42,11811.45
S-100015,2024-11-10,North,Electronics,Lena Park,Retail,106.0,,0%,3.89,0.0
S-100016,2024-07-24,North,Home Goods,Maria Gomez ,SMB,34.0,$451.99,0%,3.48,
S-100017,2024-02-21,North,Office Supplies,john lee,Government,50.0,$208.97,5%,,9926.07
S-100018,2024-12-01,North,Home Goods,SAM PATEL,SMB ,107.0,$407.70,10%,3.97,39261.51
S-100019,2024/08/03,West ,Industrial,SAM PATEL,SMB,29.0,$226.67,5%,4.46,6244.76
S-100020,2024-07-19, south,electronics,Lena Park,SMB ,116.0,$353.56,0%,4.79,41012.96
S-100021,2024-05-28,EAST,electronics,,Government,6.0,$384.22,5%,3.35,2190.05
S-100022,2024-03-14,West ,Home Goods,SAM PATEL,Government,32.0,$153.05,5%,3.77,4652.72
S-100023,2025-01-05,Central,Industrial,Lena Park,Government,71.0,$198.78,,3.9,14113.38
S-100024,2024-11-08,North,Industrial,Lena Park,SMB,71.0,,5%,4.54,0.0
S-100025,2024-09-14,Central,Electronics,Maria Gomez ,Government,109.0,$135.45,0%,3.81,14764.05
S-100026,2024-06-09,West ,electronics,SAM PATEL,Enterprise,,$296.70,10%,3.86,0.0
S-100027,2024-11-25,North, furniture,Aisha Karimova,Enterprise,81.0,$223.29,20%,3.32,14469.19
S-100028,2024-08-06,Central,Industrial,SAM PATEL,Retail,79.0,$244.45,15 %,4.37,16414.82
S-100029,2024-06-26,Central,electronics,,Government,38.0,$287.28,20%,4.01,8733.31
S-100030,2024-06-29, south,Office Supplies,Aisha Karimova,SMB ,96.0,$82.12,20%,3.74,6306.82
S-100031,2024-03-31,Central,Electronics,Lena Park,retail ,77.0,$349.38,10%,3.96,24212.03
S-100032,2024-02-06,EAST, furniture,Lena Park,,3.0,$210.33,,4.72,630.99
S-100033,2024-08-09,West ,Home Goods,john lee,SMB,100.0,$285.25,0%,3.55,28525.0
S-100034,2024-12-21,, furniture,Maria Gomez ,Retail,43.0,$292.76,20%,3.64,10070.94
S-100035,2024-01-26, south,Electronics,Lena Park,Retail,57.0,$356.52,20%,4.79,16257.31
S-100036,2024-12-09,Central,Industrial,,Government,58.0,$231.09,20%,4.14,10722.58
S-100037,2024-11-27, south,Home Goods,Aisha Karimova,SMB,98.0,$59.49,10%,4.47,5247.02
S-100038,2024-04-20,Central,Electronics,john lee,retail ,32.0,$244.86,15 %,4.32,6660.19
S-100039,2024-09-09,West , furniture,SAM PATEL,Enterprise,47.0,$257.06,5%,4.08,11477.73
S-100040,2024-03-07,North,,john lee,SMB,5.0,$152.09,10%,3.91,684.41
S-100041,2024-10-30,EAST,Home Goods,john lee,SMB,42.0,$252.54,5%,4.56,10076.35
S-100042,2024-10-07, south,electronics,Aisha Karimova,Government,11.0,$209.31,10%,4.74,2072.17
S-100043,2024-05-21,North, furniture,Aisha Karimova,Enterprise,70.0,$125.87,10%,4.7,
S-100044,2024-01-28,North, furniture,Maria Gomez ,Government,107.0,$297.08,5%,3.45,30198.18
S-100045,2025-01-23, south,Electronics,SAM PATEL,Enterprise,56.0,$192.08,5%,4.82,10218.66
S-100046,2024-06-27,North,Home Goods,SAM PATEL,,109.0,$205.46,5%,3.9,21275.38
S-100047,2024-12-23,North,Electronics,Lena Park,retail ,117.0,$200.68,10%,3.68,21131.6
